BienSo,LoaiXe,ThoiGian,TrangThai
MCOCDM,motorcycle,2026-04-05 01:17:23,VAO,0,N/A
016148264,motorcycle,2026-04-05 01:17:37,VAO,0,N/A
18260161A,motorcycle,2026-04-05 01:17:38,VAO,0,N/A
01614826,motorcycle,2026-04-05 01:17:39,RA,5000,Nhan
61482601,motorcycle,2026-04-05 01:17:42,VAO,0,N/A
0182661AE,motorcycle,2026-04-05 01:17:43,VAO,0,N/A
61482601,motorcycle,2026-04-05 01:17:55,RA,5000,Nhan
016148265,motorcycle,2026-04-05 01:17:59,VAO,0,N/A
4482601,motorcycle,2026-04-05 01:18:02,VAO,0,N/A
64482601,motorcycle,2026-04-05 01:18:03,RA,5000,Nhan
8260161A,motorcycle,2026-04-05 01:18:16,RA,5000,Nhan
82601618,motorcycle,2026-04-05 01:18:20,VAO,0,N/A
64482601,motorcycle,2026-04-05 01:18:22,VAO,0,N/A
016148260,car,2026-04-05 01:18:29,RA,20000,Nhan
8260161A,motorcycle,2026-04-05 01:18:32,RA,5000,Nhan
61482601,motorcycle,2026-04-05 01:18:35,RA,5000,Nhan
016148261,motorcycle,2026-04-05 01:18:38,VAO,0,N/A
61402601,motorcycle,2026-04-05 01:18:40,VAO,0,N/A
61482601,motorcycle,2026-04-05 01:18:41,RA,5000,Nhan
10260161A,motorcycle,2026-04-05 01:18:45,VAO,0,N/A
61A82601,motorcycle,2026-04-05 01:18:46,VAO,0,N/A
61482601,motorcycle,2026-04-05 01:18:47,RA,5000,Nhan
8260161A,motorcycle,2026-04-05 01:18:53,VAO,0,N/A
0182661A,motorcycle,2026-04-05 01:19:02,RA,5000,Nhan
61482601,motorcycle,2026-04-05 01:19:05,VAO,0,N/A
8260161A,motorcycle,2026-04-05 01:19:05,RA,5000,Nhan
61482601,motorcycle,2026-04-05 01:19:10,RA,5000,Nhan
OI614826,motorcycle,2026-04-05 01:19:20,VAO,0,N/A
CAMFFP,motorcycle,2026-04-05 01:19:23,VAO,0,N/A
182601S4A,motorcycle,2026-04-05 01:19:23,VAO,0,N/A
401614826,motorcycle,2026-04-05 01:19:24,RA,5000,Nhan
64860,motorcycle,2026-04-05 01:19:33,VAO,0,N/A
61482601,motorcycle,2026-04-05 01:19:52,VAO,0,N/A
8260161A,motorcycle,2026-04-05 01:20:16,VAO,0,N/A
016148260,motorcycle,2026-04-05 01:20:20,VAO,0,N/A
01614826,motorcycle,2026-04-05 01:20:23,RA,5000,Nhan
61482601,motorcycle,2026-04-05 01:20:27,RA,5000,Nhan
61482601,motorcycle,2026-04-05 01:44:51,VAO,0,N/A
01F82661A,motorcycle,2026-04-05 01:44:52,VAO,0,N/A
016148264,motorcycle,2026-04-05 01:44:52,VAO,0,N/A
8260161A,motorcycle,2026-04-05 01:44:53,VAO,0,N/A
01614826,motorcycle,2026-04-05 01:44:53,RA,5000,Nhan
8260161A,motorcycle,2026-04-05 01:45:17,RA,5000,Nhan
65H52106,motorcycle,2026-04-26 13:48:51,TDMU_GATE_IN,Unknown
65H52106,motorcycle,2026-04-26 13:50:34,TDMU_GATE_OUT,Nhan
65HS2106,motorcycle,2026-04-26 13:50:37,TDMU_GATE_IN,Unknown
65H52106,motorcycle,2026-04-27 01:11:00,TDMU_GATE_IN,Unknown
65H52106,motorcycle,2026-04-27 01:11:47,TDMU_GATE_OUT,Nhan
65H52106,car,2026-04-27 01:17:57,TDMU_GATE_IN,Unknown
65H52106,motorcycle,2026-04-27 01:18:53,TDMU_GATE_OUT,Nhan
65H52106,motorcycle,2026-05-06 01:14:47,TDMU_GATE_IN,Unknown
65H52106,motorcycle,2026-05-06 01:16:01,TDMU_GATE_OUT,Nhan
65H52106,motorcycle,2026-05-07 10:10:44,TDMU_GATE_IN,Unknown
662106,motorcycle,2026-05-07 10:11:32,TDMU_GATE_IN,Unknown
65H52106,motorcycle,2026-05-07 10:11:33,TDMU_GATE_OUT,Nhan
30N76700,motorcycle,2026-05-07 10:13:46,TDMU_GATE_IN,Unknown
30N76789,motorcycle,2026-05-07 10:13:48,TDMU_GATE_IN,Unknown
